"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
173, 528.861312662794, 154.572511468398, 9679.32328976936, 10388.1158628637, 25.837883486921, 5.34783334146608, 174.042121059852
174, 511.553917672804, 149.694586424759, 9679.32328976936, 10388.1158628637, 25.6729570466006, 4.34914668094, 174.042121059852
175, 507.340766649058, 147.214010977398, 9679.32328976936, 10388.1158628637, 25.6366420744015, 4.43909350209767, 174.042121059852
176, 645.800177269659, 195.185912056606, 9679.32328976936, 10388.1158628637, 25.9237867738851, 5.71273410304034, 174.042121059852
177, 540.843117347885, 179.386723982202, 9679.32328976936, 10388.1158628637, 25.8375315770045, 5.1405483648507, 174.042121059852
178, 1967.33334757596, 737.448319673982, 9679.32328976936, 10388.1158628637, 31.9696824186809, 32.7991246425833, 174.042121059852
179, 3918.12941629328, 1491.09463389979, 9679.32328976936, 10388.1158628637, 50.1845051130262, 108.501672026524, 174.042121059852
180, 3971.27276547741, 1579.82650406632, 9679.32328976936, 10388.1158628637, 53.2623383364604, 123.313847220607, 174.042121059852
181, 3528.31452451222, 1425.79815388545, 9679.32328976936, 10388.1158628637, 47.982402372443, 104.085497825575, 174.042121059852
182, 3112.66406093882, 1276.27459397741, 9679.32328976936, 10388.1158628637, 43.7472562852753, 85.6718964105928, 174.042121059852
183, 3349.4016729514, 1329.79706580686, 9679.32328976936, 10388.1158628637, 45.6077409194864, 91.5998440703681, 174.042121059852
184, 2962.61110486832, 1149.02762241311, 9679.32328976936, 10388.1158628637, 40.7429392436988, 70.3221314423044, 174.042121059852
185, 392.944657537005, 169.103375758837, 9679.32328976936, 10388.1158628637, 25.791009610949, 5.02825615352522, 174.042121059852
186, 188.650189904795, 40.2763719620402, 9679.32328976936, 10388.1158628637, 25.1006140512481, 1.80883416078306, 174.042121059852
187, 191.90175324891, 40.9222357974722, 9679.32328976936, 10388.1158628637, 25.112678683942, 1.88690876417111, 174.042121059852
188, 216.883622018632, 50.8006629361546, 9679.32328976936, 10388.1158628637, 25.127835254817, 1.89447454676187, 174.042121059852
189, 276.51276024301, 70.5022560029608, 9679.32328976936, 10388.1158628637, 25.1494160065204, 2.01535038172106, 174.042121059852
190, 345.362279614052, 93.9409686213712, 9679.32328976936, 10388.1158628637, 25.2794011457783, 2.62122103824338, 174.042121059852
191, 353.14943206918, 96.3038595821059, 9679.32328976936, 10388.1158628637, 25.321859209337, 2.86204247561339, 174.042121059852
192, 177.674318008283, 37.4468223179197, 9679.32328976936, 10388.1158628637, 25.0751352990599, 1.64858879967646, 174.042121059852
193, 922.744186679014, 290.752639845349, 9679.32328976936, 10388.1158628637, 27.0100581473668, 10.1383786188889, 174.042121059852
194, 525.16382750039, 154.005639152295, 9679.32328976936, 10388.1158628637, 25.5713473618139, 3.9654099104428, 174.042121059852
195, 226.996682557647, 53.7130582510084, 9679.32328976936, 10388.1158628637, 25.1293921220095, 1.8954631577954, 174.042121059852
196, 623.162583086532, 190.255167066105, 9679.32328976936, 10388.1158628637, 26.3830343308716, 7.55024279405726, 174.042121059852
197, 877.051447490873, 276.209477994983, 9679.32328976936, 10388.1158628637, 27.3344304103148, 12.0059727893276, 174.042121059852
198, 501.916205725824, 145.304690565404, 9679.32328976936, 10388.1158628637, 25.4470740791792, 3.4274467918109, 174.042121059852
199, 7621.91215798862, 2828.31253799764, 9679.32328976936, 10388.1158628637, 114.631294874806, 365.303262391765, 174.042121059852
200, 7585.37352239732, 2819.81570355935, 9679.32328976936, 10388.1158628637, 114.718391275179, 364.329359359063, 174.042121059852
201, 7976.03029988454, 3001.25258634741, 9679.32328976936, 10388.1158628637, 124.053261311597, 401.26421841993, 174.042121059852
202, 8003.20966436944, 3096.94089368296, 9679.32328976936, 10388.1158628637, 126.763344782195, 413.778341322209, 174.042121059852
203, 8246.39821191103, 3258.36568239738, 9679.32328976936, 10388.1158628637, 135.046990139123, 448.422329130653, 174.042121059852
204, 8501.56794252155, 3413.15405784973, 9679.32328976936, 10388.1158628637, 143.547768440193, 484.137763063726, 174.042121059852
205, 8063.38979352152, 3270.11039306993, 9679.32328976936, 10388.1158628637, 133.402251939167, 445.249955728061, 174.042121059852
206, 8831.77343647176, 3612.80496502009, 9679.32328976936, 10388.1158628637, 155.248993738697, 533.144479914792, 174.042121059852
207, 8895.83875181275, 3637.28720730438, 9679.32328976936, 10388.1158628637, 157.00713650509, 540.206726869535, 174.042121059852
208, 9023.63769289098, 3600.56727157945, 9679.32328976936, 10388.1158628637, 157.123461030928, 537.493161218239, 174.042121059852
209, 9086.55865277471, 3543.44121314074, 9679.32328976936, 10388.1158628637, 156.38670223734, 532.2542152698, 174.042121059852
210, 8659.93240091951, 3272.67211112813, 9679.32328976936, 10388.1158628637, 142.109189288011, 472.82165997088, 174.042121059852
211, 7918.09597296431, 2957.10927217586, 9679.32328976936, 10388.1158628637, 122.399316515967, 394.909324498772, 174.042121059852
212, 7891.95354367095, 2946.19658981424, 9679.32328976936, 10388.1158628637, 121.736714839062, 392.298434429525, 174.042121059852
213, 7141.87046756608, 2632.24874432329, 9679.32328976936, 10388.1158628637, 104.369972490772, 323.964790805232, 174.042121059852
214, 6503.45997722167, 2375.72236088323, 9679.32328976936, 10388.1158628637, 91.4855420693882, 271.203715821226, 174.042121059852
215, 178.587686590474, 36.2048891225442, 9679.32328976936, 10388.1158628637, 25.1184927091437, 1.9316328073325, 174.042121059852
216, 2275.50673489124, 761.992245774293, 9679.32328976936, 10388.1158628637, 34.5665144187241, 41.3084640960886, 174.042121059852
217, 1227.39820985173, 391.406631889137, 9679.32328976936, 10388.1158628637, 27.5369275926897, 12.811735550441, 174.042121059852
218, 1284.66744312512, 421.135395169194, 9679.32328976936, 10388.1158628637, 28.6881973961697, 17.2748034555509, 174.042121059852
219, 1932.77402952939, 637.086085034954, 9679.32328976936, 10388.1158628637, 31.1036581708137, 27.8385741698118, 174.042121059852
