"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
4165, "Line.L9", 310, 600, 121.693793029559, 62.8751263986055, 7.19955785679463, 377.250758390407, 377.250758391633, 377.250758390027 
4165, "Transformer.TR45", 20.371621366755, 27.7794836819387, 209.349672924793, 153.523093478181, 7.19955785679463, 42.6479227007789, 42.6479227005721, 42.6479227002804 
4166, "Line.L9", 310, 600, 126.900181407069, 65.5650937269854, 7.19955785679463, 393.390562360626, 393.390562361912, 393.390562360225 
4166, "Transformer.TR45", 20.371621366755, 27.7794836819387, 198.002375766331, 145.201742228643, 7.19955785679463, 40.3362942882966, 40.336294288113, 40.3362942878503 
4167, "Line.L9", 310, 600, 132.430071385025, 68.4222035489297, 7.19955785679463, 410.53322129225, 410.533221293578, 410.533221291822 
4167, "Transformer.TR45", 20.371621366755, 27.7794836819387, 181.097269079582, 132.804663991694, 7.19955785679463, 36.8924499624261, 36.8924499622738, 36.8924499620524 
4168, "Line.L9", 310, 600, 134.514884327696, 69.4993569026429, 7.19955785679463, 416.996141414399, 416.996141415858, 416.996141413983 
4168, "Transformer.TR45", 20.371621366755, 27.7794836819387, 166.097760125258, 121.805024091856, 7.19955785679463, 33.8368067913785, 33.836806791251, 33.8368067910639 
4169, "Line.L9", 310, 600, 121.856139499464, 62.9590054080564, 7.19955785679463, 377.754032447119, 377.754032448338, 377.754032446259 
4169, "Transformer.TR45", 20.371621366755, 27.7794836819387, 115.291888570966, 84.5473849520421, 7.19955785679463, 23.4868270062584, 23.486827006198, 23.4868270061083 
4170, "Line.L9", 310, 600, 107.704562543243, 55.6473573140089, 7.19955785679463, 333.884143883111, 333.884143884053, 333.884143881915 
4171, "Line.L9", 310, 600, 110.407613061404, 57.0439334150587, 7.19955785679463, 342.263600489393, 342.263600490352, 342.263600488162 
4172, "Line.L9", 310, 600, 105.086689370748, 54.2947895082199, 7.19955785679463, 325.76873704851, 325.76873704932, 325.768737047138 
4185, "Transformer.TR45", 20.371621366755, 27.7794836819387, 108.198495044871, 79.3455630329057, 7.19955785679463, 22.0417877350684, 22.0417877350152, 22.0417877349356 
4186, "Transformer.TR45", 20.371621366755, 27.7794836819387, 146.389528505752, 107.352320904218, 7.19955785679463, 29.8219204677697, 29.821920467673, 29.8219204675281 
4187, "Transformer.TR45", 20.371621366755, 27.7794836819387, 191.748475267447, 140.615548529461, 7.19955785679463, 39.0622733580103, 39.0622733578409, 39.0622733575967 
4188, "Transformer.TR45", 20.371621366755, 27.7794836819387, 202.383788287576, 148.414778077556, 7.19955785679463, 41.2288590576401, 41.2288590574557, 41.2288590571804 
4189, "Transformer.TR45", 20.371621366755, 27.7794836819387, 206.503067035525, 151.435582492718, 7.19955785679463, 42.0680229272134, 42.068022927018, 42.0680229267346 
4190, "Transformer.TR45", 20.371621366755, 27.7794836819387, 200.969748463337, 147.37781553978, 7.19955785679463, 40.940796218671, 40.9407962184858, 40.9407962182191 
4191, "Transformer.TR45", 20.371621366755, 27.7794836819387, 188.984107095166, 138.588345203122, 7.19955785679463, 38.4991267407701, 38.4991267406081, 38.4991267403707 
4192, "Transformer.TR45", 20.371621366755, 27.7794836819387, 160.431219340436, 117.649560849653, 7.19955785679463, 32.6824405581019, 32.6824405579876, 32.6824405578148 
4193, "Transformer.TR45", 20.371621366755, 27.7794836819387, 123.61046573752, 90.6476748741817, 7.19955785679463, 25.1814560497301, 25.1814560496628, 25.1814560495593 
4209, "Transformer.TR45", 20.371621366755, 27.7794836819387, 116.369653178018, 85.3377456638798, 7.19955785679463, 23.7063851312318, 23.706385131172, 23.7063851310806 
4210, "Transformer.TR45", 20.371621366755, 27.7794836819387, 166.141749621751, 121.837283055951, 7.19955785679463, 33.8457681650452, 33.8457681649244, 33.8457681647388 
4211, "Transformer.TR45", 20.371621366755, 27.7794836819387, 196.490229581956, 144.092835026768, 7.19955785679463, 40.0282455931038, 40.0282455929278, 40.0282455926763 
